Country,Year,Status,Alcohol,percentageexpenditure,HepatitisB,Measles,BMI,Polio,Totalexpenditure,Diphtheria,HIV/AIDS,thinness1-19years,thinness5-9years,Incomecompositionofresources
AntiguaandBarbuda,2014,Developing,8.56,2422.999774,99,0,47,96,5.54,99,0.2,3.3,3.3,0.782
AntiguaandBarbuda,2013,Developing,8.58,1991.430372,99,0,46.4,98,5.33,99,0.2,3.3,3.3,0.781
AntiguaandBarbuda,2012,Developing,8.18,2156.229842,98,0,45.7,97,5.39,98,0.2,3.3,3.3,0.778
AntiguaandBarbuda,2011,Developing,7.84,1810.875316,99,0,45.1,99,5.65,99,0.1,3.3,3.3,0.782
AntiguaandBarbuda,2010,Developing,7.84,1983.956937,98,0,44.4,99,5.63,98,0.1,3.3,3.3,0.783
AntiguaandBarbuda,2009,Developing,7.82,149.3587355,98,0,43.8,98,4.86,99,0.1,3.4,3.3,0.788
AntiguaandBarbuda,2008,Developing,8.27,180.7762695,98,0,43.2,99,4.69,99,0.1,3.4,3.3,0.786
AntiguaandBarbuda,2007,Developing,8.64,257.9665308,97,0,42.6,98,4.27,99,0.1,3.4,3.3,0.781
AntiguaandBarbuda,2006,Developing,8.93,216.3146941,99,0,42,99,4.34,99,0.1,3.4,3.4,0.773
AntiguaandBarbuda,2005,Developing,8.15,1455.608186,99,0,41.4,98,4.41,99,0.1,3.5,3.4,0
AntiguaandBarbuda,2004,Developing,7.28,22.86295206,97,0,4.8,97,4.21,97,0.1,3.5,3.4,0
AntiguaandBarbuda,2003,Developing,7.16,1158.065259,99,0,4.1,99,4.53,99,0.1,3.5,3.5,0
AntiguaandBarbuda,2002,Developing,7.21,927.4075855,99,0,39.5,93,4.41,98,0.1,3.6,3.5,0
AntiguaandBarbuda,2001,Developing,7.51,163.7676978,96,0,38.9,99,4.48,97,0.1,3.6,3.5,0
AntiguaandBarbuda,2000,Developing,7.27,1127.74347,,0,38.2,96,4.13,95,0.1,3.7,3.6,0
Argentina,2015,Developing,,0,94,0,62.8,93,,94,0.1,1,0.9,0.826
Argentina,2014,Developing,7.93,847.3717463,94,1,62.2,92,4.79,94,0.1,1,0.9,0.825
Argentina,2013,Developing,8.28,1001.796332,94,0,61.6,99,4.99,94,0.1,1,0.9,0.823
Argentina,2012,Developing,8.35,1133.558003,91,2,61,99,5.2,91,0.1,1,0.9,0.822
Argentina,2011,Developing,8.11,1504.329462,91,3,6.4,93,5.89,91,0.1,1,0.9,0.816
Argentina,2010,Developing,8.15,187.610955,94,17,59.8,95,6.55,94,0.1,1,0.9,0.802
Argentina,2009,Developing,8.33,1398.042623,94,3,59.2,97,7.63,94,0.1,1,0.9,0.794
Argentina,2008,Developing,8.41,1413.73543,9,0,58.6,94,6.66,93,0.1,1,0.9,0.792
Argentina,2007,Developing,8.16,1105.659031,85,0,58,92,6.49,91,0.1,1.1,0.9,0.788
Argentina,2006,Developing,7.75,961.1774676,84,0,57.5,92,6.68,91,0.1,1.1,0.9,0.782
Argentina,2005,Developing,7.53,96.16653429,88,0,56.9,95,6.85,98,0.1,1.1,1,0.78
Argentina,2004,Developing,7.63,719.3663797,81,0,56.3,91,6.84,98,0.1,1.1,1,0.775
Argentina,2003,Developing,7.62,57.58467352,73,0,55.7,95,8.22,96,0.1,1.2,1,0.77
Argentina,2002,Developing,7.81,470.1869145,66,0,55.1,94,8.31,93,0.1,1.2,1,0.776
Argentina,2001,Developing,7.76,123.0128671,,0,54.6,85,9.38,83,0.1,1.2,1.1,0.771
Argentina,2000,Developing,7.68,1349.025282,,6,54,88,9.21,83,0.1,1.2,1.1,0.764
Armenia,2015,Developing,,0,94,33,54.9,96,,94,0.1,2.1,2.2,0.741
Armenia,2014,Developing,3.91,295.6087143,93,13,54.1,95,4.48,93,0.1,2.1,2.1,0.739
Armenia,2013,Developing,3.79,279.4290812,95,10,53.3,96,4.55,95,0.1,2.1,2.1,0.736
Armenia,2012,Developing,3.89,274.1526986,95,0,52.6,96,4.48,95,0.1,2,2.1,0.732
Armenia,2011,Developing,4.09,260.9963826,95,0,51.9,96,3.71,95,0.1,2,2.1,0.729
Armenia,2010,Developing,4.23,224.3212014,94,2,51.2,96,4.56,94,0.1,2,2.1,0.72
Armenia,2009,Developing,3.96,201.1855461,93,0,5.7,94,4.55,93,0.1,2,2.1,0.725
Armenia,2008,Developing,3.96,2.8888979,89,0,5.1,91,3.8,89,0.1,2,2.1,0.721
Armenia,2007,Developing,3.99,44.57219966,85,1,49.7,9,4.31,88,0.1,2,2.1,0.707
Armenia,2006,Developing,4.01,244.5352767,78,137,49.2,87,4.58,87,0.1,2,2.1,0.692
Armenia,2005,Developing,4.25,20.21822828,91,2281,48.8,92,5.25,9,0.1,2,2.1,0.679
Armenia,2004,Developing,3.81,97.74087744,91,1783,48.4,93,5.5,91,0.1,2,2.1,0.668
Armenia,2003,Developing,3.03,7.341493148,93,4,48.1,96,5.56,94,0.1,2,2.1,0.657
Armenia,2002,Developing,2.86,57.17810403,91,40,47.8,96,5.4,94,0.1,2.1,2.1,0.645
Armenia,2001,Developing,2.86,53.19373012,69,69,47.4,97,5.94,94,0.1,2.1,2.1,0.644
Armenia,2000,Developing,2.9,32.75626853,55,15,47.1,96,6.25,93,0.1,2.1,2.2,0.639
Australia,2015,Developed,,0,93,74,66.6,93,,93,0.1,0.6,0.6,0.937
Australia,2014,Developed,9.71,10769.36305,91,340,66.1,92,9.42,92,0.1,0.6,0.6,0.936
Australia,2013,Developed,9.87,11734.85381,91,158,65.5,91,9.36,91,0.1,0.6,0.6,0.933
Australia,2012,Developed,10.03,11714.99858,91,199,65,92,9.36,92,0.1,0.6,0.6,0.93
Australia,2011,Developed,10.3,10986.26527,92,190,64.4,92,9.2,92,0.1,0.6,0.6,0.927
Australia,2010,Developed,10.52,8875.786493,92,70,63.9,92,9.2,92,0.1,0.7,0.6,0.927
Australia,2009,Developed,10.62,7172.275229,94,104,63.4,92,9.5,92,0.1,0.7,0.6,0.925
Australia,2008,Developed,10.76,8547.292357,94,65,62.9,92,8.78,92,0.1,0.7,0.6,0.921
Australia,2007,Developed,10.56,872.5986092,94,11,62.5,92,8.53,92,0.1,0.7,0.6,0.918
Australia,2006,Developed,10.31,6187.062017,95,0,62,92,8.49,92,0.1,0.7,0.6,0.915
Australia,2005,Developed,10.3,579.1331637,95,10,61.5,92,8.45,92,0.1,0.7,0.6,0.91
Australia,2004,Developed,9.84,588.568371,95,70,6.9,92,8.57,92,0.1,0.7,0.6,0.908
Australia,2003,Developed,9.97,3829.550928,95,91,6.3,92,8.32,93,0.1,0.7,0.7,0.905
Australia,2002,Developed,9.84,46.3871819,95,32,59.6,92,8.39,92,0.1,0.7,0.7,0.902
Australia,2001,Developed,9.53,3064.301144,94,141,59,91,8.18,92,0.1,0.7,0.7,0.899
Australia,2000,Developed,10.17,347.18736,,108,58.2,9,8.8,9,0.1,0.7,0.7,0.897
Austria,2015,Developed,,0,93,309,57.6,93,,93,0.1,1.9,2.1,0.892
Austria,2014,Developed,12.32,8350.193523,98,117,57.1,98,11.21,98,0.1,1.8,2,0.892
Austria,2013,Developed,11.82,90.58501176,95,0,56.6,95,11.14,95,0.1,1.8,2,0.887
Austria,2012,Developed,12.26,7878.372355,92,36,56.1,92,11.17,92,0.1,1.8,2,0.884
Austria,2011,Developed,12.04,8272.306757,89,68,55.7,89,1.94,89,0.1,1.7,2,0.88
Austria,2010,Developed,12.1,7423.228774,86,52,55.2,86,11.17,86,0.1,1.7,1.9,0.872
Austria,2009,Developed,11.3,8053.557638,83,49,54.7,83,11.19,83,0.1,1.7,1.9,0.87
Austria,2008,Developed,12,8329.731655,83,448,54.2,83,1.6,83,0.1,1.7,1.9,0.864
Austria,2007,Developed,12.5,7453.8644,85,20,53.7,85,1.4,85,0.1,1.7,1.9,0.86
Austria,2006,Developed,12.4,69.92899358,83,23,53.2,83,1.35,83,0.1,1.7,1.9,0.854
Austria,2005,Developed,12.4,5992.588029,86,9,52.7,86,1.53,86,0.1,1.7,1.9,0.848
Austria,2004,Developed,12.1,5316.877456,83,15,52.2,83,1.56,83,0.1,1.7,1.9,0.841
Austria,2003,Developed,12.2,504.4308735,83,90,51.7,84,1.48,84,0.1,1.7,1.9,0.837
Austria,2002,Developed,12.5,3979.057728,81,0,51.2,82,1.27,83,0.1,1.7,1.9,0.847
Austria,2001,Developed,12.4,3582.848308,44,0,5.6,83,1.12,84,0.1,1.7,1.9,0.837
Austria,2000,Developed,13.2,3557.455507,33,0,5.1,71,1.6,81,0.1,1.7,1.9,0.833
Azerbaijan,2015,Developing,,0,96,0,52.5,98,,96,0.1,2.8,2.9,0.758
Azerbaijan,2014,Developing,0.01,306.1824313,94,0,51.5,97,6.4,94,0.1,2.8,2.9,0.752
Azerbaijan,2013,Developing,2.14,275.6514934,93,164,5.6,96,5.54,93,0.1,2.8,2.8,0.745
Azerbaijan,2012,Developing,0.01,285.6103912,88,0,49.7,92,5.37,89,0.1,2.8,2.8,0.742
Azerbaijan,2011,Developing,1.98,263.142699,84,0,48.8,91,5.1,87,0.1,2.8,2.9,0.741
Azerbaijan,2010,Developing,1.98,246.5686008,8,0,48,85,5.33,81,0.1,2.8,2.9,0.737
Azerbaijan,2009,Developing,2.1,22.48638351,74,0,47.3,84,5.85,81,0.1,2.8,2.9,0.728
Azerbaijan,2008,Developing,1.18,206.2616134,68,5,46.6,85,4.37,81,0.1,2.8,2.9,0.719
Azerbaijan,2007,Developing,1.02,176.0107106,62,0,45.9,81,5.1,79,0.1,2.8,2.9,0.708
Azerbaijan,2006,Developing,0.85,105.6337264,52,222,45.3,8,6.17,78,0.1,2.9,2.9,0.682
Azerbaijan,2005,Developing,0.73,81.28883085,49,1238,44.7,79,7.86,75,0.1,2.9,3,0.675
Azerbaijan,2004,Developing,0.62,8.59680496,5,827,44.2,78,7.92,77,0.1,3,3,0.668
Azerbaijan,2003,Developing,0.55,42.41491183,51,1978,43.6,79,6.56,77,0.1,3,3,0.659
Azerbaijan,2002,Developing,0.55,39.33253687,5,4353,43.1,8,4.47,76,0.1,3.1,3.1,0.651
Azerbaijan,2001,Developing,0.51,4.104190077,,574,42.6,77,4.48,77,0.1,3.1,3.1,0.642
Azerbaijan,2000,Developing,0.65,35.09462644,,210,42.1,75,4.67,76,0.1,3.2,3.1,0.636
Bahamas,2015,Developing,,0,95,0,64.5,95,,95,0.1,2.5,2.5,0.79
Bahamas,2014,Developing,9.45,0,96,0,63.8,96,7.74,96,0.1,2.5,2.5,0.789
Bahamas,2013,Developing,9.42,0,97,0,63.2,97,7.5,97,0.1,2.5,2.5,0.79
Bahamas,2012,Developing,9.5,0,96,0,62.6,99,7.43,98,0.2,2.5,2.5,0.789
Bahamas,2011,Developing,9.34,0,95,0,62,97,7.63,98,0.1,2.5,2.5,0.788
Bahamas,2010,Developing,9.19,0,98,0,61.3,97,7.44,99,0.2,2.5,2.5,0.788
Bahamas,2009,Developing,9.29,0,95,0,6.7,97,7.43,96,0.1,2.5,2.5,0.791
Bahamas,2008,Developing,10.15,0,9,0,6.1,93,7.3,93,0.1,2.5,2.5,0.791
Bahamas,2007,Developing,10.75,0,93,0,59.4,95,7.8,95,0.1,2.5,2.5,0.79
Bahamas,2006,Developing,11.07,0,96,0,58.7,94,6.93,95,0.1,2.5,2.5,0.788
Bahamas,2005,Developing,10.49,0,93,0,58.1,93,5.95,93,0.1,2.6,2.5,0.786
Bahamas,2004,Developing,10.1,0,93,0,57.4,92,6.2,93,0.1,2.6,2.5,0.784
Bahamas,2003,Developing,10.68,0,88,0,56.7,93,5.62,92,0.1,2.6,2.5,0.783
Bahamas,2002,Developing,10.85,0,89,0,56,93,5.26,94,0.1,2.6,2.6,0.781
Bahamas,2001,Developing,11.64,0,21,0,55.2,98,5.15,99,0.2,2.7,2.6,0.779
Bahamas,2000,Developing,12.15,0,,0,54.4,91,5.21,99,0.1,2.7,2.6,0
Bahrain,2015,Developing,,0,98,0,63.6,98,,98,0.1,6.2,6.1,0.823
Bahrain,2014,Developing,1.57,367.2556742,98,46,62.9,98,4.98,98,0.1,6.1,6,0.82
Bahrain,2013,Developing,1.65,3.968695982,99,0,62.2,99,4.69,99,0.1,6.1,6,0.815
Bahrain,2012,Developing,1.7,2211.215778,99,0,61.5,99,4.37,99,0.1,6.1,6,0.812
Bahrain,2011,Developing,1.66,197.7734681,99,0,6.8,99,3.4,99,0.1,6.1,6,0.812
Bahrain,2010,Developing,1.93,266.7696122,99,0,6.1,99,3.64,99,0.1,6,5.9,0.81
Bahrain,2009,Developing,1.95,332.9347646,98,3,59.3,97,3.79,98,0.1,6,5.9,0.814
Bahrain,2008,Developing,2,231.5478912,97,2,58.5,97,3.17,97,0.1,6,5.9,0.815
Bahrain,2007,Developing,2,278.3602806,97,7,57.6,97,3.8,97,0.1,6.1,5.9,0.813
Bahrain,2006,Developing,2.1,170.7374027,98,3,56.8,98,3.8,98,0.1,6.1,5.9,0.81
Bahrain,2005,Developing,2.05,1553.468944,98,4,56.1,98,3.16,98,0.1,6.1,5.9,0.806
Bahrain,2004,Developing,2.16,1380.228095,98,11,55.6,98,3.37,98,0.1,6.1,5.9,0.803
Bahrain,2003,Developing,2.16,1214.558167,98,12,55.2,97,3.74,97,0.1,6.1,5.9,0.798
Bahrain,2002,Developing,1.99,106.4303336,98,8,55,98,3.89,98,0.1,6.2,5.9,0.796
Bahrain,2001,Developing,1.95,1150.418063,99,5,54.8,99,3.8,99,0.1,6.2,6,0.794
Bahrain,2000,Developing,2.15,167.7270642,97,6,54.5,97,3.51,97,0.1,6.2,6,0.786
Bangladesh,2015,Developing,,0,97,240,18.3,97,,97,0.1,17.9,18.3,0.575
Bangladesh,2014,Developing,0.01,10.44640334,97,289,17.7,97,2.82,97,0.1,18.1,18.6,0.57
Bangladesh,2013,Developing,0.01,52.82986467,96,237,17,96,2.88,96,0.1,18.3,18.8,0.565
Bangladesh,2012,Developing,0.01,59.2589257,94,1986,16.4,94,3.8,94,0.1,18.5,19,0.557
Bangladesh,2011,Developing,0.01,62.34988484,96,5625,15.8,96,3.16,96,0.1,18.7,19.2,0.545
Bangladesh,2010,Developing,0.01,62.65945432,94,788,15.2,94,3.6,94,0.1,18.9,19.4,0.535
Bangladesh,2009,Developing,0.01,53.26400378,97,718,14.6,97,2.91,97,0.1,19.1,19.7,0.523
Bangladesh,2008,Developing,0.01,42.48865034,96,2660,14,96,2.85,96,0.1,19.3,19.9,0.52
Bangladesh,2007,Developing,0.01,46.36536703,95,2924,13.5,96,2.8,94,0.1,19.5,2.1,0.513
Bangladesh,2006,Developing,0.01,42.3304549,86,6192,13,95,2.8,94,0.1,19.7,2.3,0.506
Bangladesh,2005,Developing,0.01,38.05462002,45,25934,12.5,94,2.68,93,0.1,19.9,2.5,0.499
Bangladesh,2004,Developing,0.01,4.11469667,11,9743,12,88,2.62,99,0.1,2.1,2.7,0.491
Bangladesh,2003,Developing,0.01,35.48458957,5,4067,11.6,9,2.51,87,0.1,2.3,2.9,0.484
Bangladesh,2002,Developing,0.01,0.397228764,,3484,11.2,83,2.59,83,0.1,2.5,21.1,0.476
Bangladesh,2001,Developing,0.01,3.395069781,,4414,1.8,85,2.47,85,0.1,2.7,21.3,0.468
Bangladesh,2000,Developing,0.01,3.69633051,,5098,1.4,83,2.33,82,0.1,2.9,21.5,0.459
Barbados,2015,Developing,,0,97,0,54.5,97,,97,0.1,3.8,3.7,0.794
Barbados,2014,Developing,8.82,294.9056584,94,0,53.7,95,7.47,94,0.1,3.8,3.7,0.793
Barbados,2013,Developing,8.74,263.0372838,91,0,53,91,7.57,91,0.1,3.8,3.8,0.792
Barbados,2012,Developing,8.61,260.0043858,87,0,52.2,88,7.43,87,0.1,3.8,3.8,0.785
Barbados,2011,Developing,8.51,173.9825629,91,0,51.4,91,6.67,91,0.1,3.8,3.8,0.78
Barbados,2010,Developing,8.41,154.9630863,86,0,5.7,9,6.17,86,0.1,3.8,3.8,0.781
Barbados,2009,Developing,8.46,327.1618128,93,0,49.9,93,6.21,93,0.1,3.8,3.8,0.779
Barbados,2008,Developing,8.95,25.52277112,85,0,49.2,85,6.1,85,0.1,3.9,3.9,0.775
Barbados,2007,Developing,8.47,1641.30981,93,0,48.4,93,5.64,93,0.1,3.9,3.9,0.771
Barbados,2006,Developing,8.39,181.5000856,84,0,47.7,85,5.27,84,0.1,4,3.9,0.766
Barbados,2005,Developing,8.01,1311.440423,92,0,46.9,91,5.38,92,0.1,4,4,0.761
Barbados,2004,Developing,7.68,166.0083443,93,0,46.2,93,5.71,93,0.2,4.1,4,0.757
Barbados,2003,Developing,7.65,13.5139917,91,0,45.4,9,5.82,89,0.4,4.1,4.1,0.753
Barbados,2002,Developing,7.59,133.099491,66,0,44.6,86,5.76,87,0.8,4.2,4.1,0.749
Barbados,2001,Developing,7.38,138.1664627,18,0,43.8,93,5.47,84,0.7,4.2,4.2,0.75
Barbados,2000,Developing,7.43,1140.615754,,0,43,86,5.16,93,0.9,4.3,4.2,0.741
Belarus,2015,Developing,,0,99,2,62.3,99,,99,0.1,1.9,2,0.798
Belarus,2014,Developing,13.94,1147.1114,97,64,61.7,97,5.69,97,0.1,1.9,2,0.796
Belarus,2013,Developing,14.66,1109.854619,98,16,61.1,98,6.7,98,0.1,2,2,0.796
Belarus,2012,Developing,16.35,91.70962117,97,10,6.5,98,5.1,98,0.1,2,2.1,0.793
Belarus,2011,Developing,17.31,846.9113071,98,50,59.9,98,4.92,98,0.1,2,2.1,0.787
Belarus,2010,Developing,14.44,8.49409518,96,1,59.3,99,5.55,98,0.1,2,2.2,0.78
Belarus,2009,Developing,14.09,434.7985025,98,0,58.7,98,6.9,96,0.1,2.1,2.2,0.771
Belarus,2008,Developing,14.67,501.8056141,98,0,58.2,98,5.95,97,0.1,2.1,2.3,0.755
Belarus,2007,Developing,14.22,464.077513,91,1,57.7,9,6.44,95,0.1,2.2,2.3,0.739
Belarus,2006,Developing,12.6,364.426052,98,149,57.2,97,6.34,99,0.1,2.2,2.4,0.723
Belarus,2005,Developing,11.01,45.65007798,99,1,56.7,98,6.89,99,0.1,2.3,2.5,0.713
Belarus,2004,Developing,12.05,42.33443901,99,2,56.2,99,6.59,99,0.1,2.4,2.5,0.703
Belarus,2003,Developing,11.17,23.83578594,56,21,55.8,53,6.59,5,0.1,2.5,2.6,0.695
Belarus,2002,Developing,12.23,145.4233629,99,14,55.3,99,6.47,99,0.1,2.5,2.7,0.687
Belarus,2001,Developing,10.74,14.06141699,93,45,54.9,99,6.62,99,0.1,2.6,2.7,0.681
Belarus,2000,Developing,12.98,24.24947846,7,21,54.4,99,6.13,99,0.1,2.7,2.8,0.675
Belgium,2015,Developed,,0,98,47,63.7,99,,99,0.1,1,1,0.895
Belgium,2014,Developed,12.6,7163.348923,98,70,63.4,99,1.59,99,0.1,1,1,0.89
Belgium,2013,Developed,11.77,702.359357,98,39,63,99,1.57,99,0.1,1,0.9,0.889
Belgium,2012,Developed,10.08,664.4738975,98,109,62.6,99,1.54,99,0.1,0.9,0.9,0.886
Belgium,2011,Developed,10.11,713.5297354,97,576,62.3,98,1.42,98,0.1,0.9,0.9,0.884
Belgium,2010,Developed,10.22,665.7356115,97,40,61.9,98,1.17,98,0.1,0.9,0.9,0.878
Belgium,2009,Developed,10.05,671.9376566,97,33,61.6,98,1.39,98,0.1,0.9,0.9,0.876
Belgium,2008,Developed,10.47,7191.051507,98,98,61.3,99,9.6,99,0.1,0.8,0.8,0.874
Belgium,2007,Developed,10.25,640.3560918,94,64,6.9,99,9.25,98,0.1,0.8,0.8,0.871
Belgium,2006,Developed,10.98,5579.199083,94,15,6.6,99,9.17,98,0.1,0.8,0.8,0.865
Belgium,2005,Developed,12.27,5068.214488,77,26,6.2,97,9.24,97,0.1,0.8,0.8,0.861
Belgium,2004,Developed,12.05,5160.508378,64,61,59.8,96,9.32,95,0.1,0.8,0.8,0.88
Belgium,2003,Developed,11.28,507.306164,64,44,59.4,96,9.3,95,0.1,0.8,0.8,0.878
Belgium,2002,Developed,11.29,320.3177664,6,0,59,96,8.46,95,0.1,0.8,0.8,0.875
Belgium,2001,Developed,11.01,2943.375396,6,83,58.5,96,8.29,95,0.1,0.8,0.8,0.873
Belgium,2000,Developed,11.21,287.2084529,6,0,58.1,96,8.12,95,0.1,0.8,0.8,0.869
Belize,2015,Developing,,0,94,0,5.9,94,,94,0.2,3.5,3.4,0.706
Belize,2014,Developing,6.58,670.0920883,95,0,5.1,95,5.79,95,0.2,3.4,3.4,0.705
Belize,2013,Developing,6.56,629.2018591,95,0,49.3,95,5.79,95,0.2,3.4,3.4,0.706
Belize,2012,Developing,6.66,582.8027185,98,0,48.5,98,5.45,98,0.1,3.5,3.4,0.702
