Country,Year,Status,GDP,Population,Schooling,Lifeexpectancy,AdultMortality,infantdeaths,under-fivedeaths
Australia,2011,Developed,62245.129,223424,19.8,82,63,1,1
Australia,2010,Developed,51874.848,223175,19.5,81.9,64,1,1
Australia,2009,Developed,42742.99898,216917,19.1,81.7,66,1,1
Australia,2008,Developed,49664.6854,212492,19.1,81.3,66,1,1
Australia,2007,Developed,4991.98289,28276,19,81.3,66,1,2
Australia,2006,Developed,36118.28381,26979,20.3,81.2,66,1,2
Australia,2005,Developed,3416.71483,23948,20.3,81,67,1,2
Australia,2004,Developed,3472.37977,21274,20.7,86,69,1,1
Australia,2003,Developed,23465.38559,198954,20.6,83,71,1,1
Australia,2002,Developed,281.81763,196514,20.1,79.9,73,1,2
Australia,2001,Developed,19517.84168,19413,20.5,79.9,75,1,2
Australia,2000,Developed,2169.921,19153,20.4,79.5,78,1,2
Austria,2015,Developed,43665.947,8633169,15.9,81.5,65,0,0
Austria,2014,Developed,51322.63997,8541575,15.9,81.4,66,0,0
Austria,2013,Developed,554.71532,8479375,15.7,81.1,68,0,0
Austria,2012,Developed,48333.57273,8429991,15.7,88,7,0,0
Austria,2011,Developed,51126.74139,8391643,15.7,88,73,0,0
Austria,2010,Developed,46657.629,836344,15.4,84,75,0,0
Austria,2009,Developed,47654.18721,8343323,15.3,82,77,0,0
Austria,2008,Developed,51386.37665,8321496,15.1,84,76,0,0
Austria,2007,Developed,46586.6525,8295487,15.2,81,8,0,0
Austria,2006,Developed,443.99361,8268641,15,79.8,81,0,0
Austria,2005,Developed,38242.4252,8227829,14.9,79.4,85,0,0
Austria,2004,Developed,36693.4262,8171966,14.7,79.3,86,0,0
Austria,2003,Developed,3212.9355,8121423,14.7,78.8,88,0,0
Austria,2002,Developed,26351.37568,881957,16.1,78.7,9,0,0
Austria,2001,Developed,24489.73553,842293,15.5,78.6,92,0,0
Austria,2000,Developed,24517.26745,811566,15.4,78.1,96,0,0
Azerbaijan,2015,Developing,55.31382,9649341,12.7,72.7,118,5,6
Azerbaijan,2014,Developing,7891.299776,953579,12.2,72.5,119,5,6
Azerbaijan,2013,Developing,7875.756953,941681,11.9,72.2,121,5,6
Azerbaijan,2012,Developing,7496.335728,9295784,11.8,71.9,123,5,6
Azerbaijan,2011,Developing,7189.691229,917382,11.7,71.6,125,5,6
Azerbaijan,2010,Developing,5842.85784,954332,11.7,71.1,13,5,6
Azerbaijan,2009,Developing,495.294791,8947243,11.6,78,132,6,6
Azerbaijan,2008,Developing,5574.6382,87634,11.6,73,141,6,6
Azerbaijan,2007,Developing,3851.437869,85813,11.6,73,14,6,7
Azerbaijan,2006,Developing,2473.85776,848455,10.7,69.2,154,6,7
Azerbaijan,2005,Developing,1578.4239,839185,11.2,68.4,162,6,7
Azerbaijan,2004,Developing,145.2163,8365,11,68.4,154,6,8
Azerbaijan,2003,Developing,883.6439965,82341,10.8,67.8,154,7,8
Azerbaijan,2002,Developing,763.73858,817195,10.6,67.8,146,7,9
Azerbaijan,2001,Developing,73.6838434,81112,10.4,67.5,151,8,10
Azerbaijan,2000,Developing,655.974326,8486,10.1,66.6,16,9,11
Bahamas,2015,Developing,,,12.6,76.1,147,0,0
Bahamas,2014,Developing,,,12.6,75.4,16,0,0
Bahamas,2013,Developing,,,12.6,74.8,172,0,0
Bahamas,2012,Developing,,,12.6,74.9,167,0,0
Bahamas,2011,Developing,,,12.6,75,162,0,0
Bahamas,2010,Developing,,,12.6,75,161,0,0
Bahamas,2009,Developing,,,12.6,74.6,168,0,0
Bahamas,2008,Developing,,,12.6,74.5,167,0,0
Bahamas,2007,Developing,,,12.5,74.4,167,0,0
Bahamas,2006,Developing,,,12.4,74.2,171,0,0
Bahamas,2005,Developing,,,12.4,74.1,172,0,0
Bahamas,2004,Developing,,,12.3,73.8,174,0,0
Bahamas,2003,Developing,,,12.2,73.2,189,0,0
Bahamas,2002,Developing,,,12.1,73.1,19,0,0
Bahamas,2001,Developing,,,12.1,72.9,189,0,0
Bahamas,2000,Developing,,,12,72.6,192,0,0
Bahrain,2015,Developing,22688.87824,,14.5,76.9,69,0,0
Bahrain,2014,Developing,24983.3792,,14.5,76.8,7,0,0
Bahrain,2013,Developing,251.18329,,14.5,76.7,7,0,0
Bahrain,2012,Developing,23649.36661,,14.5,76.5,71,0,0
Bahrain,2011,Developing,2281.1242,,14.4,76.1,76,0,0
Bahrain,2010,Developing,2722.1389,,14.4,76.1,73,0,0
Bahrain,2009,Developing,19356.67236,,14.4,76,74,0,0
Bahrain,2008,Developing,2367.56535,,14.4,75.8,76,0,0
Bahrain,2007,Developing,2977.1153,,14.4,75.6,77,0,0
Bahrain,2006,Developing,1937.99549,,14.2,75.5,79,0,0
Bahrain,2005,Developing,17959.17854,,14,75.3,81,0,0
Bahrain,2004,Developing,15846.47641,,13.9,75.2,83,0,0
Bahrain,2003,Developing,14221.99259,,13.7,75,85,0,0
Bahrain,2002,Developing,1312.33457,,13.5,74.9,87,0,0
Bahrain,2001,Developing,12868.211,,13.3,74.7,9,0,0
Bahrain,2000,Developing,13636.34668,,13.2,74.5,92,0,0
Bangladesh,2015,Developing,121.15812,1612886,10.2,71.8,129,92,113
Bangladesh,2014,Developing,184.56543,15945279,10,71.4,132,98,121
Bangladesh,2013,Developing,951.8894535,157571292,10,71,135,104,130
Bangladesh,2012,Developing,856.342857,15572753,9.9,77,137,111,139
Bangladesh,2011,Developing,835.789341,153911916,9.4,73,14,118,150
Bangladesh,2010,Developing,757.6717572,15214912,8.9,69.9,142,126,161
Bangladesh,2009,Developing,681.125368,1545478,8.4,69.5,144,135,173
Bangladesh,2008,Developing,615.7775411,14885814,8.6,69.1,147,144,186
Bangladesh,2007,Developing,541.651484,147139191,8.6,68.6,151,154,201
Bangladesh,2006,Developing,494.51466,1453684,8.4,68.2,152,164,215
Bangladesh,2005,Developing,484.155471,14343111,8.2,67.8,155,174,231
Bangladesh,2004,Developing,46.7579167,14137489,8.1,67.3,158,185,247
Bangladesh,2003,Developing,432.7388972,139191,7.9,66.8,161,196,264
Bangladesh,2002,Developing,4.6135745,1366667,7.7,66.3,164,207,280
Bangladesh,2001,Developing,42.5981152,1341716,7.5,65.8,168,219,298
Bangladesh,2000,Developing,45.63371,131581243,7.3,65.3,173,231,316
Barbados,2015,Developing,15557.8381,,15.3,75.5,98,0,0
Barbados,2014,Developing,15359.66971,,15.3,75.4,1,0,0
Barbados,2013,Developing,15472.7814,,15.3,75.2,11,0,0
Barbados,2012,Developing,15384.8749,,15.3,75.1,12,0,0
Barbados,2011,Developing,15534.1574,,15.5,74.9,14,0,0
Barbados,2010,Developing,1595.91232,,15.8,74.7,16,0,0
Barbados,2009,Developing,16523.32388,,15.5,74.6,19,0,0
Barbados,2008,Developing,1657.3228,,15.3,74.4,111,0,0
Barbados,2007,Developing,16462.48556,,15,74.2,113,0,0
Barbados,2006,Developing,15646.5591,,14.8,74.1,115,0,0
Barbados,2005,Developing,14223.86576,,14.6,73.9,117,0,0
Barbados,2004,Developing,12868.8639,,14.4,73.8,119,0,0
Barbados,2003,Developing,1228.5447,,14.2,73.7,121,0,0
Barbados,2002,Developing,11675.39395,,14,73.5,123,0,0
Barbados,2001,Developing,11513.87189,,14,73.4,125,0,0
Barbados,2000,Developing,11568.1111,,14,73.3,127,0,0
Belarus,2015,Developing,5949.11677,9489616,15.6,72.3,196,0,0
Belarus,2014,Developing,8318.429294,9474511,15.7,72,199,0,0
Belarus,2013,Developing,7978.825443,9465997,15.7,71.7,23,0,1
Belarus,2012,Developing,694.243915,9464495,15.6,71.9,194,0,1
Belarus,2011,Developing,6519.71753,9473172,15.5,72,232,0,1
Belarus,2010,Developing,63.38877,949583,15.5,73,222,0,1
Belarus,2009,Developing,5176.172649,956765,15.4,70,226,0,1
Belarus,2008,Developing,6376.183153,9527985,15.1,70,224,1,1
Belarus,2007,Developing,4735.484827,956953,14.9,69.8,226,1,1
Belarus,2006,Developing,3848.215966,964924,14.6,68.9,243,1,1
Belarus,2005,Developing,3126.71767,9663915,14.4,68.1,252,1,1
Belarus,2004,Developing,2378.33927,973146,14.1,68.2,247,1,1
Belarus,2003,Developing,1819.525644,9796749,13.9,67.7,253,1,1
Belarus,2002,Developing,1479.383142,9865548,13.6,67.2,262,1,1
Belarus,2001,Developing,1244.373185,9928549,13.3,67.7,254,1,1
Belarus,2000,Developing,1276.28834,997961,13.1,68,247,1,1
Belgium,2015,Developed,4356.875,11274196,16.6,81.1,74,0,1
Belgium,2014,Developed,47439.39684,112957,16.3,89,76,0,1
Belgium,2013,Developed,4651.38647,11182817,16.3,87,77,0,1
Belgium,2012,Developed,4474.5717,11128246,16.2,83,78,0,1
Belgium,2011,Developed,4772.77415,1147744,16.1,83,8,0,1
Belgium,2010,Developed,4438.23741,1895586,15.9,80,81,0,1
Belgium,2009,Developed,4488.5615,1796493,15.8,79.8,85,0,1
Belgium,2008,Developed,48424.58927,179973,15.8,79.5,87,0,1
Belgium,2007,Developed,4443.83131,16257,15.8,79.5,86,0,1
Belgium,2006,Developed,38852.3613,1547958,15.7,79.4,85,0,1
Belgium,2005,Developed,36967.28292,1478617,15.7,78.9,89,0,1
Belgium,2004,Developed,35589.71295,1421137,18.8,78.8,91,1,1
Belgium,2003,Developed,3743.95693,1376133,18.6,78.3,95,0,1
Belgium,2002,Developed,2552.3328,1332785,18.8,78,99,1,1
Belgium,2001,Developed,23121.56635,128657,18.2,78,1,1,1
Belgium,2000,Developed,2327.4591,125125,18,77.6,11,1,1
Belize,2015,Developing,4849.997495,359288,12.8,71,175,0,0
Belize,2014,Developing,4852.223666,351694,12.8,70,177,0,0
Belize,2013,Developing,4688.538443,344181,12.9,69.8,18,0,0
Belize,2012,Developing,4673.63848,33671,12.5,69.4,189,0,0
Belize,2011,Developing,4516.24675,329192,12.4,69.4,188,0,0
Belize,2010,Developing,4344.15177,32168,12.4,69.5,186,0,0
Belize,2009,Developing,4258.788611,313929,12.7,69.5,184,0,0
Belize,2008,Developing,447.22796,36165,12.8,69.6,181,0,0
Belize,2007,Developing,4324.876427,29847,12.8,69.6,181,0,0
Belize,2006,Developing,4187.3783,29747,12.3,69.4,184,0,0
Belize,2005,Developing,3933.332215,283277,12.8,69,191,0,0
Belize,2004,Developing,3831.53819,27689,12.5,68.7,197,0,0
Belize,2003,Developing,3679.99523,26913,12.2,68.4,21,0,0
Belize,2002,Developing,3556.561825,26226,11.9,68.5,199,0,0
Belize,2001,Developing,3419.275719,254984,11.8,68.2,21,0,0
Belize,2000,Developing,3364.423711,247315,11.7,68.3,196,0,0
Benin,2015,Developing,783.94791,1575952,10.7,60,249,25,39
Benin,2014,Developing,943.686575,1286712,10.7,59.7,252,25,39
Benin,2013,Developing,915.2674586,14451,10.3,59.5,251,25,39
Benin,2012,Developing,837.9551,972916,10,59.3,251,25,39
Benin,2011,Developing,825.9427854,94682,9.8,59.1,251,25,39
Benin,2010,Developing,757.695974,9199259,9.5,58.7,254,25,39
Benin,2009,Developing,793.45243,894476,9.3,58.4,259,25,39
Benin,2008,Developing,82.1513498,8696916,9.1,57.6,278,25,39
Benin,2007,Developing,76.535419,8454791,8.9,57.1,283,25,39
Benin,2006,Developing,625.8392,8216896,8.7,56.8,284,25,39
Benin,2005,Developing,61.799977,7982225,8.5,56.5,285,25,39
Benin,2004,Developing,583.493514,7754,8.1,56.1,285,25,39
Benin,2003,Developing,519.2922847,752555,7.7,55.8,285,25,40
Benin,2002,Developing,418.6985763,7295394,7.3,55.6,283,25,40
Benin,2001,Developing,378.73654,776733,6.6,55.5,281,25,40
Benin,2000,Developing,374.1923942,6865951,6.4,55.4,279,25,40
Bhutan,2015,Developing,2613.645177,787386,12.5,69.8,211,0,0
Bhutan,2014,Developing,2522.7968,776448,12.5,69.4,216,0,1
Bhutan,2013,Developing,235.882889,764961,12.6,69.1,219,0,1
Bhutan,2012,Developing,2422.816,752967,12.3,68.7,223,0,1
Bhutan,2011,Developing,2458.45976,7451,11.9,68.3,225,0,1
Bhutan,2010,Developing,2178.921383,727641,11.4,67.9,228,1,1
Bhutan,2009,Developing,177.234497,714458,10.9,67.4,232,1,1
Bhutan,2008,Developing,1795.18137,795,10.5,67,234,1,1
Bhutan,2007,Developing,1741.142552,686958,10.1,66.5,238,1,1
Bhutan,2006,Developing,1335.45696,672228,9.6,65.8,245,1,1
Bhutan,2005,Developing,1247.61392,656639,9.2,65,254,1,1
Bhutan,2004,Developing,197.45788,64282,8.8,64.2,263,1,1
Bhutan,2003,Developing,997.7417141,623434,8.4,63.3,273,1,1
Bhutan,2002,Developing,885.6382245,66399,8,62.5,282,1,1
Bhutan,2001,Developing,87.9387673,5896,7.6,61.7,29,1,1
Bhutan,2000,Developing,765.8632358,573416,7.3,62,312,1,1
Bolivia(PlurinationalStateof),2015,Developing,,,13.8,77,186,8,10
Bolivia(PlurinationalStateof),2014,Developing,,,13.8,74,189,8,10
Bolivia(PlurinationalStateof),2013,Developing,,,13.8,71,192,8,10
Bolivia(PlurinationalStateof),2012,Developing,,,13.8,69.8,194,8,11
Bolivia(PlurinationalStateof),2011,Developing,,,13.8,69.3,198,9,11
Bolivia(PlurinationalStateof),2010,Developing,,,13.8,68.7,22,9,12
Bolivia(PlurinationalStateof),2009,Developing,,,13.8,68,27,10,12
Bolivia(PlurinationalStateof),2008,Developing,,,14,67.4,211,10,13
Bolivia(PlurinationalStateof),2007,Developing,,,14.1,66.8,216,11,14
Bolivia(PlurinationalStateof),2006,Developing,,,14.3,66.2,219,11,15
Bolivia(PlurinationalStateof),2005,Developing,,,14.4,65.7,222,12,16
Bolivia(PlurinationalStateof),2004,Developing,,,14.6,65.1,226,12,16
Bolivia(PlurinationalStateof),2003,Developing,,,14.4,64.5,23,13,17
Bolivia(PlurinationalStateof),2002,Developing,,,14,63.9,234,14,18
Bolivia(PlurinationalStateof),2001,Developing,,,13.7,63.3,238,14,19
Bolivia(PlurinationalStateof),2000,Developing,,,13.3,62.6,243,15,20
BosniaandHerzegovina,2015,Developing,4574.9787,3535961,14.2,77.4,88,0,0
BosniaandHerzegovina,2014,Developing,5193.94932,35662,14.2,77.2,89,0,0
BosniaandHerzegovina,2013,Developing,535.86555,364999,14.2,77,9,0,0
BosniaandHerzegovina,2012,Developing,4716.673325,36482,13.9,76.8,92,0,0
BosniaandHerzegovina,2011,Developing,55.156834,3688865,13.4,76.9,92,0,0
BosniaandHerzegovina,2010,Developing,4611.47298,372284,13.3,76.4,94,0,0
BosniaandHerzegovina,2009,Developing,4697.89732,3746561,13.3,76.1,97,0,0
BosniaandHerzegovina,2008,Developing,575.31664,3763599,13.1,76,98,0,0
BosniaandHerzegovina,2007,Developing,418.292176,3774,12.9,75.4,16,0,0
BosniaandHerzegovina,2006,Developing,344.321698,3779468,12.7,75.7,1,0,0
BosniaandHerzegovina,2005,Developing,2968.41186,378153,12.5,75,12,0,0
BosniaandHerzegovina,2004,Developing,265.642661,3781287,12.3,75.5,99,0,0
BosniaandHerzegovina,2003,Developing,2214.732246,3779247,12.1,75.2,12,0,0
BosniaandHerzegovina,2002,Developing,1761.537647,377587,11.9,75.4,11,0,0
BosniaandHerzegovina,2001,Developing,1524.41222,3771284,11.6,74.9,113,0,0
BosniaandHerzegovina,2000,Developing,1461.7552,376676,0,74.6,116,0,0
Botswana,2015,Developing,6532.651,229197,12.6,65.7,256,2,2
Botswana,2014,Developing,7497.762376,2168573,12.6,65.1,268,2,2
Botswana,2013,Developing,77.625783,212857,12.6,64.2,286,2,2
Botswana,2012,Developing,729.231453,289315,12.5,63.4,3,2,3
Botswana,2011,Developing,7645.21469,251339,12.4,62.2,325,2,3
Botswana,2010,Developing,6346.15624,214866,12.3,61.1,349,2,3
Botswana,2009,Developing,5185.729845,1979882,12.2,59.2,393,2,3
Botswana,2008,Developing,5623.379566,1946351,12.1,57.5,427,2,3
Botswana,2007,Developing,5714.47937,1914414,12.1,56.9,436,2,3
Botswana,2006,Developing,5374.554867,1884238,11.9,54.8,491,2,3
Botswana,2005,Developing,5351.253732,1855852,11.9,51.7,566,2,3
Botswana,2004,Developing,4896.583835,182933,11.8,48.1,652,2,4
Botswana,2003,Developing,4163.6596,184339,11.8,46.4,693,2,4
Botswana,2002,Developing,355.618382,1779953,11.9,46,699,2,4
Botswana,2001,Developing,3128.97793,1754935,11.8,46.7,679,2,4
Botswana,2000,Developing,3349.68823,172834,11.7,47.8,647,2,4
Brazil,2015,Developing,8757.2622,2596218,15.2,75,142,42,47
Brazil,2014,Developing,1226.61731,24213133,15.2,74.8,144,44,49
Brazil,2013,Developing,12216.9446,2248632,14.2,74.7,146,46,52
Brazil,2012,Developing,12291.46685,256983,14.2,74.5,148,49,54
Brazil,2011,Developing,13167.47289,198686688,14,74.1,152,51,57
Brazil,2010,Developing,11224.1548,196796269,13.8,73.8,154,54,61
Brazil,2009,Developing,8553.3847,194895996,13.8,73.6,157,57,64
Brazil,2008,Developing,8787.61375,19297929,13.3,73.4,158,61,68
Brazil,2007,Developing,7313.557962,19126637,13.5,73.3,159,65,73
Brazil,2006,Developing,586.145975,18912412,13.8,73,161,70,79
Brazil,2005,Developing,477.182746,186917361,13.8,72.7,163,75,85
Brazil,2004,Developing,3623.47667,184738458,14,72,17,81,93
Brazil,2003,Developing,359.587582,182482149,14.8,71.8,172,88,100
Brazil,2002,Developing,2819.649531,1815121,14.6,71.4,176,95,109
Brazil,2001,Developing,3146.95177,1777567,14.3,71,179,103,118
Brazil,2000,Developing,3739.11936,175287587,14.1,75,183,111,127
BruneiDarussalam,2015,Developing,3967.8951,,14.9,77.7,78,0,0
BruneiDarussalam,2014,Developing,4159.8652,,15,77.6,8,0,0
BruneiDarussalam,2013,Developing,44597.27968,,14.9,77.1,84,0,0
BruneiDarussalam,2012,Developing,47651.2599,,14.4,78.3,79,0,0
BruneiDarussalam,2011,Developing,4717.273,,14.1,77.4,79,0,0
BruneiDarussalam,2010,Developing,35268.1117,,14.2,76.9,79,0,0
BruneiDarussalam,2009,Developing,27965.4754,,14.1,76.8,88,0,0
BruneiDarussalam,2008,Developing,37951.286,,14.2,77.2,84,0,0
BruneiDarussalam,2007,Developing,32672.36717,,14.3,76,1,0,0
BruneiDarussalam,2006,Developing,398.96692,,14.3,76.3,93,0,0
BruneiDarussalam,2005,Developing,2612.13345,,14.1,76.2,92,0,0
BruneiDarussalam,2004,Developing,21896.6527,,13.7,76.4,89,0,0
BruneiDarussalam,2003,Developing,18555.56649,,13.4,76,89,0,0
BruneiDarussalam,2002,Developing,16846.2198,,13.3,74.8,95,0,0
BruneiDarussalam,2001,Developing,16468.12886,,13.4,74.7,19,0,0
BruneiDarussalam,2000,Developing,188.44826,,13.4,74.4,16,0,0
Bulgaria,2015,Developed,6993.47736,7177991,15,74.5,137,0,1
Bulgaria,2014,Developed,7853.335191,7223938,14.8,74.3,138,1,1
Bulgaria,2013,Developed,7674.86559,7265115,14.4,74.1,14,1,1
Bulgaria,2012,Developed,7378.25539,735888,14.3,73.9,139,1,1
Bulgaria,2011,Developed,7813.83499,7348328,14.2,73.7,144,1,1
Bulgaria,2010,Developed,6843.263289,7395599,13.9,73.4,147,1,1
Bulgaria,2009,Developed,6955.987733,7444443,13.8,73.2,152,1,1
Bulgaria,2008,Developed,7296.122479,7492561,13.8,72.9,155,1,1
Bulgaria,2007,Developed,5932.899677,7545338,13.5,72.6,157,1,1
Bulgaria,2006,Developed,4513.13628,76122,13.5,72.2,161,1,1
